code,level,de,en,es,fr,it,nl
01.6,3,Erbringung von landwirtschaftlichen Dienstleistungen und nach der Ernte anfallende Tätigkeiten,Support activities to agriculture and post-harvest crop activities,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",Activités de soutien à l’agriculture et traitement primaire des récoltes,Attività di supporto all’agricoltura e attività successive alla raccolta,Ondersteunende activiteiten in verband met de landbouw; activiteiten met betrekking tot gewassen na de oogst
01.61,4,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau,Support activities for crop production,Actividades de apoyo a la agricultura,Activités de soutien aux cultures,Attività di supporto alla produzione vegetale,Ondersteunende activiteiten in verband met de teelt van gewassen
01.47,4,Haltung von Geflügel,Raising of poultry,Avicultura,Élevage de volailles,Allevamento di pollame,Fokken en houden van pluimvee
01.62,4,Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung,Support activities for animal production,Actividades de apoyo a la ganadería,Activités de soutien à la production animale,Attività di supporto alla produzione animale,Ondersteunende activiteiten in verband met de veeteelt
01.63,4,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung,Post-harvest crop activities and seed processing for propagation,Actividades de preparación posterior a la cosecha y tratamiento de semillas para reproducción,Traitement primaire des récoltes et traitement des semences,Attività successive alla raccolta e lavorazione delle sementi per la semina,Behandeling van gewassen na de oogst en van zaden voor vermeerdering
01.63,4,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung,Post-harvest crop activities and seed processing for propagation,Actividades de preparación posterior a la cosecha y tratamiento de semillas para reproducción,Traitement primaire des récoltes et traitement des semences,Attività successive alla raccolta e lavorazione delle sementi per la semina,Behandeling van gewassen na de oogst en van zaden voor vermeerdering
01.7,3,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten","Hunting, trapping and related service activities","Caza, captura de animales y servicios relacionados","Chasse, piégeage et activités de service connexes","Caccia, cattura di animali e servizi connessi","Jacht, zetten van vallen en diensten in verband met deze activiteiten"
01.70,4,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten","Hunting, trapping and related service activities","Caza, captura de animales y servicios relacionados","Chasse, piégeage et activités de service connexes","Caccia, cattura di animali e servizi connessi","Jacht, zetten van vallen en diensten in verband met deze activiteiten"
02,2,Forstwirtschaft und Holzeinschlag,Forestry and logging,Silvicultura y explotación forestal,Sylviculture et exploitation forestière,Silvicoltura e utilizzo di aree forestali,Bosbouw en exploitatie van bossen
02.1,3,Forstwirtschaft,Silviculture and other forestry activities,Silvicultura y otras actividades forestales,Sylviculture et autres activités forestières,Silvicoltura e altre attività forestali,Bosbouw en bosbouwactiviteiten
02.10,4,Forstwirtschaft,Silviculture and other forestry activities,Silvicultura y otras actividades forestales,Sylviculture et autres activités forestières,Silvicoltura e altre attività forestali,Bosbouw en bosbouwactiviteiten
02.2,3,Holzeinschlag,Logging,Explotación de la madera,Exploitation forestière,Utilizzo di aree forestali,Exploitatie van bossen
02.20,4,Holzeinschlag,Logging,Explotación de la madera,Exploitation forestière,Utilizzo di aree forestali,Exploitatie van bossen
02.3,3,"Sammeln von wildwachsenden Produkten, ohne Holz",Gathering of wild growing non-wood products,"Recolección de productos silvestres, excepto madera",Récolte de produits forestiers non ligneux poussant à l’état sauvage,Raccolta di prodotti selvatici non legnosi,Verzamelen van in het wild groeiende producten met uitzondering van hout
02.30,4,"Sammeln von wildwachsenden Produkten, ohne Holz",Gathering of wild growing non-wood products,"Recolección de productos silvestres, excepto madera",Récolte de produits forestiers non ligneux poussant à l’état sauvage,Raccolta di prodotti selvatici non legnosi,Verzamelen van in het wild groeiende producten met uitzondering van hout
02.4,3,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,Support services to forestry,Servicios de apoyo a la silvicultura,Activités de soutien à l’exploitation forestière,Servizi di supporto per la silvicoltura,Ondersteunende diensten in verband met de bosbouw
02.40,4,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,Support services to forestry,Servicios de apoyo a la silvicultura,Activités de soutien à l’exploitation forestière,Servizi di supporto per la silvicoltura,Ondersteunende diensten in verband met de bosbouw
01,2,"Landwirtschaft, Jagd und damit verbundene Tätigkeiten","Crop and animal production, hunting and related service activities","Agricultura, ganadería, caza y servicios relacionados","Culture et production animale, chasse et services annexes","Produzioni vegetali e animali, caccia e servizi connessi","Teelt van gewassen, veeteelt, jacht en diensten in verband met deze activiteiten"
03,2,Fischerei und Aquakultur,Fishing and aquaculture,Pesca y acuicultura,Pêche et aquaculture,Pesca e acquacoltura,Visserij en aquacultuur
03.3,3,Erbringung von Dienstleistungen für Fischerei und Aquakultur,Support activities for fishing and aquaculture,Actividades de apoyo a la pesca y la acuicultura,Activités de soutien à la pêche et l’aquaculture,Attività di supporto alla pesca e all’acquacoltura,Ondersteunende activiteiten voor visserij en aquacultuur
03.1,3,Fischerei,Fishing,Pesca,Pêche,Pesca,Visserij
03.30,4,Erbringung von Dienstleistungen für Fischerei und Aquakultur,Support activities for fishing and aquaculture,Actividades de apoyo a la pesca y la acuicultura,Activités de soutien à la pêche et l’aquaculture,Attività di supporto alla pesca e all’acquacoltura,Ondersteunende activiteiten voor visserij en aquacultuur
03.11,4,Meeresfischerei,Marine fishing,Pesca marina,Pêche en mer,Pesca marina,Zeevisserij
03.30,4,Erbringung von Dienstleistungen für Fischerei und Aquakultur,Support activities for fishing and aquaculture,Actividades de apoyo a la pesca y la acuicultura,Activités de soutien à la pêche et l’aquaculture,Attività di supporto alla pesca e all’acquacoltura,Ondersteunende activiteiten voor visserij en aquacultuur
03.12,4,Süßwasserfischerei,Freshwater fishing,Pesca en agua dulce,Pêche en eau douce,Pesca in acque dolci,Binnenvisserij
01.4,3,Tierhaltung,Animal production,Producción ganadera,Production animale,Allevamento di animali,Veeteelt
03.3,3,Erbringung von Dienstleistungen für Fischerei und Aquakultur,Support activities for fishing and aquaculture,Actividades de apoyo a la pesca y la acuicultura,Activités de soutien à la pêche et l’aquaculture,Attività di supporto alla pesca e all’acquacoltura,Ondersteunende activiteiten voor visserij en aquacultuur
03.2,3,Aquakultur,Aquaculture,Acuicultura,Aquaculture,Acquacoltura,Aquacultuur
03.30,4,Erbringung von Dienstleistungen für Fischerei und Aquakultur,Support activities for fishing and aquaculture,Actividades de apoyo a la pesca y la acuicultura,Activités de soutien à la pêche et l’aquaculture,Attività di supporto alla pesca e all’acquacoltura,Ondersteunende activiteiten voor visserij en aquacultuur
03.21,4,Meeresaquakultur,Marine aquaculture,Acuicultura marina,Aquaculture en mer,Acquacoltura marina,Mariene aquacultuur
01.48,4,Sonstige Tierhaltung,Raising of other animals,Otras explotaciones de ganado,Élevage d’autres animaux,Allevamento di altri animali,Fokken en houden van andere dieren
03.30,4,Erbringung von Dienstleistungen für Fischerei und Aquakultur,Support activities for fishing and aquaculture,Actividades de apoyo a la pesca y la acuicultura,Activités de soutien à la pêche et l’aquaculture,Attività di supporto alla pesca e all’acquacoltura,Ondersteunende activiteiten voor visserij en aquacultuur
03.22,4,Süßwasseraquakultur,Freshwater aquaculture,Acuicultura en agua dulce,Aquaculture en eau douce,Acquacoltura in acque dolci,Aquacultuur in zoet water
05,2,Kohlenbergbau,Mining of coal and lignite,"Extracción de antracita, hulla y lignito",Extraction de houille et de lignite,Estrazione di carbone e lignite,Winning van steenkool en bruinkool
05.1,3,Steinkohlenbergbau,Mining of hard coal,Extracción de antracita y hulla,Extraction de houille,Estrazione di antracite,Winning van steenkool
05.10,4,Steinkohlenbergbau,Mining of hard coal,Extracción de antracita y hulla,Extraction de houille,Estrazione di antracite,Winning van steenkool
05.2,3,Braunkohlenbergbau,Mining of lignite,Extracción de lignito,Extraction de lignite,Estrazione di lignite,Winning van bruinkool
05.20,4,Braunkohlenbergbau,Mining of lignite,Extracción de lignito,Extraction de lignite,Estrazione di lignite,Winning van bruinkool
06,2,Gewinnung von Erdöl und Erdgas,Extraction of crude petroleum and natural gas,Extracción de crudo de petróleo y gas natural,Extraction d’hydrocarbures,Estrazione di petrolio greggio e gas naturale,Winning van aardolie en aardgas
06.1,3,Gewinnung von Erdöl,Extraction of crude petroleum,Extracción de crudo de petróleo,Extraction de pétrole brut,Estrazione di petrolio greggio,Winning van aardolie
06.10,4,Gewinnung von Erdöl,Extraction of crude petroleum,Extracción de crudo de petróleo,Extraction de pétrole brut,Estrazione di petrolio greggio,Winning van aardolie
06.2,3,Gewinnung von Erdgas,Extraction of natural gas,Extracción de gas natural,Extraction de gaz naturel,Estrazione di gas naturale,Winning van aardgas
06.20,4,Gewinnung von Erdgas,Extraction of natural gas,Extracción de gas natural,Extraction de gaz naturel,Estrazione di gas naturale,Winning van aardgas
07,2,Erzbergbau,Mining of metal ores,Extracción de minerales metálicos,Extraction de minerais métalliques,Estrazione di minerali metalliferi,Winning van metaalertsen
07.1,3,Eisenerzbergbau,Mining of iron ores,Extracción de minerales de hierro,Extraction de minerais de fer,Estrazione di minerali metalliferi ferrosi,Winning van ijzererts
07.10,4,Eisenerzbergbau,Mining of iron ores,Extracción de minerales de hierro,Extraction de minerais de fer,Estrazione di minerali metalliferi ferrosi,Winning van ijzererts
07.2,3,NE-Metallerzbergbau,Mining of non-ferrous metal ores,Extracción de minerales metálicos no férreos,Extraction de minerais de métaux non ferreux,Estrazione di minerali metalliferi non ferrosi,Winning van non-ferrometaalertsen
07.21,4,Bergbau auf Uran- und Thoriumerze,Mining of uranium and thorium ores,Extracción de minerales de uranio y torio,Extraction de minerais d’uranium et de thorium,Estrazione di minerali di uranio e torio,Winning van uranium- en thoriumerts
07.29,4,Sonstiger NE-Metallerzbergbau,Mining of other non-ferrous metal ores,Extracción de otros minerales metálicos no férreos,Extraction d’autres minerais de métaux non ferreux,Estrazione di altri minerali metalliferi non ferrosi,Winning van andere non-ferrometaalertsen
08,2,"Gewinnung von Steinen und Erden, sonstiger Bergbau",Other mining and quarrying,Otras industrias extractivas,Autres industries extractives,Altre attività estrattive,Overige winning van delfstoffen
08.1,3,"Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin","Quarrying of stone, sand and clay","Extracción de piedra, arena y arcilla","Extraction de pierres, de sables et d’argiles","Estrazione di pietra, sabbia e argilla","Winning van steen, zand en klei"
08.11,4,"Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein","Quarrying of ornamental stone, limestone, gypsum, slate and other stone","Extracción de piedra ornamental, piedra caliza, yeso, pizarra y otras piedras","Extraction de pierres ornementales, de calcaire industriel, de gypse, d’ardoise et d’autres pierres","Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre","Winning van siersteen, kalksteen, gips, leisteen en andere steen"
08.12,4,"Gewinnung von Kies und Sand, Ton und Kaolin",Operation of gravel and sand pits and mining of clay and kaolin,Extracción de gravas y arenas y extracción de arcilla y caolín,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin","Estrazione di ghiaia, sabbia, argilla e caolino","Winning van grind, zand, klei en kaolien"
08.9,3,Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g.,Mining and quarrying n.e.c.,Industrias extractivas n.c.o.p.,Activités extractives n.c.a.,Attività estrattive n.c.a.,"Winning van delfstoffen, n.e.g."
08.91,4,Bergbau auf chemische und Düngemittelminerale,Mining of chemical and fertiliser minerals,Extracción de minerales para productos químicos y fertilizantes,Extraction de minéraux chimiques et d’engrais minéraux,Estrazione di minerali per l’industria chimica e per la produzione di fertilizzanti,Winning van mineralen voor de chemische en de kunstmestindustrie
08.92,4,Torfgewinnung,Extraction of peat,Extracción de turba,Extraction de tourbe,Estrazione di torba,Winning van turf
08.93,4,Gewinnung von Salz,Extraction of salt,Extracción de sal,Production de sel,Estrazione di sale,Zoutwinning
08.99,4,Gewinnung von Steinen und Erden a. n. g.,Other mining and quarrying n.e.c.,Otras industrias extractivas n.c.o.p.,Autres activités extractives n.c.a.,Altre attività estrattive n.c.a.,"Overige winning van delfstoffen, n.e.g."
09,2,Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden,Mining support service activities,Actividades de apoyo a las industrias extractivas,Activités de soutien aux industries extractives,Attività dei servizi di supporto all’estrazione,Ondersteunende activiteiten in verband met de mijnbouw
09.1,3,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas,Support activities for petroleum and natural gas extraction,Actividades de apoyo a la extracción de petróleo y gas natural,Activités de soutien à l’extraction d’hydrocarbures,Attività di supporto all’estrazione di petrolio e gas naturale,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
09.10,4,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas,Support activities for petroleum and natural gas extraction,Actividades de apoyo a la extracción de petróleo y gas natural,Activités de soutien à l’extraction d’hydrocarbures,Attività di supporto all’estrazione di petrolio e gas naturale,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
09.9,3,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden,Support activities for other mining and quarrying,Actividades de apoyo a otras industrias extractivas,Activités de soutien aux autres industries extractives,Attività di supporto ad altre attività estrattive,Ondersteunende activiteiten in verband met de overige winning van delfstoffen
09.90,4,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden,Support activities for other mining and quarrying,Actividades de apoyo a otras industrias extractivas,Activités de soutien aux autres industries extractives,Attività di supporto ad altre attività estrattive,Ondersteunende activiteiten in verband met de overige winning van delfstoffen
10,2,Herstellung von Nahrungs- und Futtermitteln,Manufacture of food products,Industria alimentaria,Industries alimentaires,Produzione di prodotti alimentari,Vervaardiging van voedingsmiddelen
11,2,Getränkeherstellung,Manufacture of beverages,Fabricación de bebidas,Fabrication de boissons,Produzione di bevande,Vervaardiging van dranken
10.1,3,Schlachten und Fleischverarbeitung,Processing and preserving of meat and production of meat products,Procesado y conservación de carne y elaboración de productos cárnicos,Transformation et conservation de la viande et préparation de produits à base de viande,Lavorazione e conservazione di carne e produzione di prodotti a base di carne,Verwerking en conservering van vlees en vervaardiging van vleesproducten
10.11,4,"Schlachten, ohne Schlachten von Geflügel","Processing and preserving of meat, except of poultry meat","Procesado y conservación de carne, excepto volatería","Transformation et conservation de la viande, à l’exception de la viande de volaille","Lavorazione e conservazione di carne, esclusa la carne di volatili","Verwerking en conservering van vlees, met uitzondering van vlees van gevogelte"
10.12,4,Schlachten von Geflügel,Processing and preserving of poultry meat,Procesado y conservación de volatería,Transformation et conservation de la viande de volaille,Lavorazione e conservazione di carne di volatili,Verwerking en conservering van vlees van gevogelte
10.13,4,Fleischverarbeitung,Production of meat and poultry meat products,Elaboración de productos cárnicos y de volatería,Préparation de produits à base de viande et viande de volaille,"Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili",Vervaardiging van producten van vlees of van vlees van gevogelte
10.2,3,Fischverarbeitung,"Processing and preserving of fish, crustaceans and molluscs","Procesado y conservación de pescados, crustáceos y moluscos","Transformation et conservation de poisson, de crustacés et de mollusques","Lavorazione e conservazione di pesce, crostacei e molluschi",Verwerking en conservering van vis en van schaal- en weekdieren
10.20,4,Fischverarbeitung,"Processing and preserving of fish, crustaceans and molluscs","Procesado y conservación de pescados, crustáceos y moluscos","Transformation et conservation de poisson, de crustacés et de mollusques","Lavorazione e conservazione di pesce, crostacei e molluschi",Verwerking en conservering van vis en van schaal- en weekdieren
10.3,3,Obst- und Gemüseverarbeitung,Processing and preserving of fruit and vegetables,Procesado y conservación de frutas y hortalizas,Transformation et conservation de fruits et légumes,Lavorazione e conservazione di frutta e ortaggi,Verwerking en conservering van groenten en fruit
10.31,4,Kartoffelverarbeitung,Processing and preserving of potatoes,Procesado y conservación de patatas,Transformation et conservation de pommes de terre,Lavorazione e conservazione di patate,Verwerking en conservering van aardappelen
10.32,4,Herstellung von Frucht- und Gemüsesäften,Manufacture of fruit and vegetable juice,Elaboración de zumos de frutas y hortalizas,Préparation de jus de fruits et légumes,Produzione di succhi a base di frutta e ortaggi,Vervaardiging van groente- en fruitsappen
10.39,4,Sonstige Verarbeitung von Obst und Gemüse,Other processing and preserving of fruit and vegetables,Otro procesado y conservación de frutas y hortalizas,Autre transformation et conservation de fruits et légumes,Altre attività di lavorazione e conservazione di frutta e ortaggi,Overige verwerking en conservering van groenten en fruit
10.4,3,Herstellung von pflanzlichen und tierischen Ölen und Fetten,Manufacture of vegetable and animal oils and fats,Fabricación de aceites y grasas vegetales y animales,Fabrication d’huiles et graisses végétales et animales,Produzione di oli e grassi vegetali e animali,Vervaardiging van plantaardige en dierlijke oliën en vetten
10.41,4,"Herstellung von Ölen und Fetten, ohne Margarine u. Ä. Nahrungsfette",Manufacture of oils and fats,Fabricación de aceites y grasas,Fabrication d’huiles et graisses,Produzione di oli e grassi,Vervaardiging van oliën en vetten
10.42,4,Herstellung von Margarine u. Ä. Nahrungsfetten,Manufacture of margarine and similar edible fats,Fabricación de margarina y grasas comestibles similares,Fabrication de margarine et graisses comestibles similaires,Produzione di margarina e di grassi alimentari simili,Vervaardiging van margarine en andere spijsvetten
10.5,3,Herstellung von Milcherzeugnissen und Speiseeis,Manufacture of dairy products and edible ice,Fabricación de productos lácteos y hielo comestible,Fabrication de produits laitiers et de glace alimentaire,Produzione di prodotti lattiero-caseari e gelati,Vervaardiging van zuivelproducten en consumptie-ijs
10.51,4,Herstellung von Milcherzeugnissen,Manufacture of dairy products,Fabricación de productos lácteos,Fabrication de produits laitiers,Produzione di prodotti lattiero-caseari,Vervaardiging van zuivelproducten
10.52,4,Herstellung von Speiseeis,Manufacture of ice cream and other edible ice,Fabricación de helados y otros hielos comestibles,Fabrication de crèmes glacées et autres glaces alimentaires,Produzione di gelati,Vervaardiging van roomijs en ander consumptie-ijs
10.6,3,"Mahl- und Schälmühlen, Herstellung von Stärke und Stärkeerzeugnissen","Manufacture of grain mill products, starches and starch products","Fabricación de productos de molinería, almidones y productos amiláceos",Travail des grains; fabrication de produits amylacés,"Lavorazione di granaglie, produzione di amidi e di prodotti amidacei","Vervaardiging van maalderijproducten, zetmeel en zetmeelproducten"
10.61,4,Mahl- und Schälmühlen,Manufacture of grain mill products,Fabricación de productos de molinería,Travail des grains,Lavorazione di granaglie,Vervaardiging van maalderijproducten
10.62,4,Herstellung von Stärke und Stärkeerzeugnissen,Manufacture of starches and starch products,Fabricación de almidones y productos amiláceos,Fabrication de produits amylacés,Produzione di amidi e di prodotti amidacei,Vervaardiging van zetmeel en zetmeelproducten
10.7,3,Herstellung von Back- und Teigwaren,Manufacture of bakery and farinaceous products,Fabricación de productos de panadería y pastas alimenticias,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Produzione di prodotti da forno e farinacei,Vervaardiging van bakkerijproducten en deegwaren
10.71,4,"Herstellung von Backwaren, ohne Dauerbackwaren",Manufacture of bread; manufacture of fresh pastry goods and cakes,Fabricación de pan y de productos frescos de panadería y pastelería,Fabrication de pain; fabrication de pâtisserie fraîche,Produzione di pane; produzione di prodotti di pasticceria freschi,Vervaardiging van brood; vervaardiging van vers banketbakkerswerk
10.72,4,Herstellung von Dauerbackwaren,"Manufacture of rusks, biscuits, preserved pastries and cakes",Fabricación de galletas y productos de panadería y pastelería de larga duración,"Fabrication de biscuits, biscottes et pâtisseries de conservation","Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati","Vervaardiging van beschuit, biscuit en houdbaar banketbakkerswerk"
10.73,4,Herstellung von Teigwaren,Manufacture of farinaceous products,Elaboración de pastas alimenticias,Fabrication de pâtes alimentaires,Produzione di prodotti farinacei,Vervaardiging van deegwaren
10.6,3,"Mahl- und Schälmühlen, Herstellung von Stärke und Stärkeerzeugnissen","Manufacture of grain mill products, starches and starch products","Fabricación de productos de molinería, almidones y productos amiláceos",Travail des grains; fabrication de produits amylacés,"Lavorazione di granaglie, produzione di amidi e di prodotti amidacei","Vervaardiging van maalderijproducten, zetmeel en zetmeelproducten"
